names	groups	scores	logfc	pvals	pvals_adj
ENSG00000124440	1	3.8043365	1.0508314	0.0008334970092801	12.8200174997372
ENSG00000183856	1	3.6636631	1.6660024	0.00102735897911024	15.8018084576946
ENSG00000163046	1	3.4117718	0.94788885	0.00267269719117913	41.1087554975262
ENSG00000143869	1	3.059841	0.95018244	0.0052857054163535	81.2994350089332
ENSG00000213889	1	2.5654843	1.1911275	0.0159875221912946	245.904078824303
ENSG00000156966	1	2.5040476	1.373873	0.0204102314506882	313.929769943036
ENSG00000254957	1	2.4634042	1.641257	0.0214308144977649	329.627357790122
ENSG00000156052	1	2.318745	0.93846095	0.0279861783009631	430.455408447113
ENSG00000275004	1	2.2516143	0.70735925	0.0326868631698203	502.756642415006
ENSG00000139910	1	2.2309723	1.0275538	0.0339109676704847	521.584593739726
ENSG00000163884	1	2.2139573	0.8006958	0.0353617252959987	543.898696777756
ENSG00000183826	1	2.187354	0.5946418	0.0391097422516286	601.546945572299
ENSG00000069966	1	2.171146	1.3057803	0.0391117940338511	601.578504034664
ENSG00000058404	1	2.1515622	1.5054977	0.0410192873852235	630.917659272123
ENSG00000113569	1	2.1019325	0.7868483	0.0446883384618492	687.351333881702
ENSG00000176887	1	2.0981417	0.75125813	0.0450889551057137	693.513218480982
ENSG00000113262	1	2.0474076	2.3726068	0.0534030058131877	821.391632412639
ENSG00000156642	1	1.939166	1.9584044	0.0636213971497843	978.560709560832
ENSG00000102524	1	1.9380001	1.2850219	0.0649034589286883	998.280101782155
ENSG00000038219	1	1.9141854	1.2942579	0.0666258602492796	1024.77235649417
ENSG00000104313	1	1.8923538	0.53989077	0.0690832604505276	1062.56962898957
ENSG00000137628	1	1.8850327	2.1701589	0.0719257499786913	1106.28996042225
ENSG00000121104	1	1.8667246	1.9105077	0.0742713759069069	1142.36803282414
ENSG00000012779	1	1.8418946	0.86318916	0.0765644130033192	1177.63723640405
ENSG00000169991	1	1.9094965	27.999577	0.0769064220713416	1182.89767787931
ENSG00000162512	1	1.8140155	0.70011055	0.0804080618594412	1236.75639946006
ENSG00000158158	1	1.8635367	29.345184	0.0834962102671165	1284.25521011852
ENSG00000142539	1	1.7762713	2.1367872	0.0888183820712643	1366.11553463812
ENSG00000198099	1	1.7672623	2.0090005	0.0902899053768153	1388.7490346008
ENSG00000185650	1	1.7609745	0.51191044	0.091586091919103	1408.68567980772
ENSG00000166949	1	1.7464609	1.4276121	0.0923528210120221	1420.47873998591
ENSG00000065491	1	1.7771621	3.7218516	0.0943185014516326	1450.71287082756
ENSG00000225840	1	1.7349842	0.10686218	0.0973271386681272	1496.98871985446
ENSG00000175054	1	1.7257373	1.5962386	0.0985860499954513	1516.35203498004
ENSG00000038427	1	1.7105707	1.0361987	0.0993209827157436	1527.65603515085
ENSG00000157693	1	1.7310368	2.1893353	0.100215345900736	1541.41223529922
ENSG00000156603	1	1.6995875	1.2883681	0.100310861499196	1542.88136071914
ENSG00000212961	1	1.6808858	1.1196954	0.104887952974909	1613.28160470707
ENSG00000081087	1	1.6788383	1.1615251	0.104938716245483	1614.06239457177
ENSG00000101343	1	1.6826141	1.5390676	0.105154506097318	1617.38145828284
ENSG00000158023	1	1.675368	0.58641267	0.106512801509972	1638.27340002488
ENSG00000168765	1	1.6728951	1.7152152	0.106926145851234	1644.63104933783
ENSG00000075188	1	1.6642143	1.5810037	0.108394786255942	1667.22020740265
ENSG00000160961	1	1.6636876	0.45426643	0.108710026482046	1672.06891732035
ENSG00000101445	1	1.659824	1.8033442	0.108979538558135	1676.21428256268
ENSG00000028137	1	1.6559789	1.2722454	0.109265380774958	1680.61082169962
